NO,JENJANG,PROGRAM STUDI,STATUS PENDIDIKAN,NAMA PROVINSI,JUMLAH SATUAN PENDIDIKAN,JUMLAH PESERTA,MATA UJI,RERATA NILAI,TAHUN
,,,,,,,,,
1,SMA/MA,BAHASA,NEGERI,DKI JAKARTA,18,621,BAHASA INDONESIA,71.59,2019
2,SMA/MA,BAHASA,NEGERI,JAWA BARAT,50,1634,BAHASA INDONESIA,61.64,2019
3,SMA/MA,BAHASA,NEGERI,JAWA TENGAH,75,2334,BAHASA INDONESIA,70.9,2019
4,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,45,BAHASA INDONESIA,75.07,2019
5,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,53,BAHASA INDONESIA,68.75,2019
6,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,BAHASA INDONESIA,-,2019
7,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,BAHASA INDONESIA,-,2019
8,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,1,18,BAHASA INDONESIA,78.11,2019
9,SMA/MA,BAHASA,NEGERI,JAWA TIMUR,100,3114,BAHASA INDONESIA,68.82,2019
10,SMA/MA,BAHASA,NEGERI,ACEH,8,217,BAHASA INDONESIA,54.38,2019
11,SMA/MA,BAHASA,NEGERI,SUMATERA UTARA,14,496,BAHASA INDONESIA,55.31,2019
12,SMA/MA,BAHASA,NEGERI,SUMATERA BARAT,5,127,BAHASA INDONESIA,59.34,2019
13,SMA/MA,BAHASA,NEGERI,RIAU,7,188,BAHASA INDONESIA,60.94,2019
14,SMA/MA,BAHASA,NEGERI,JAMBI,5,130,BAHASA INDONESIA,53.87,2019
15,SMA/MA,BAHASA,NEGERI,SUMATERA SELATAN,1,29,BAHASA INDONESIA,54.76,2019
16,SMA/MA,BAHASA,NEGERI,LAMPUNG,3,101,BAHASA INDONESIA,61.07,2019
17,SMA/MA,BAHASA,NEGERI,KALIMANTAN BARAT,3,92,BAHASA INDONESIA,56.28,2019
18,SMA/MA,BAHASA,NEGERI,KALIMANTAN TENGAH,12,318,BAHASA INDONESIA,59.46,2019
19,SMA/MA,BAHASA,NEGERI,KALIMANTAN SELATAN,7,165,BAHASA INDONESIA,66.12,2019
20,SMA/MA,BAHASA,NEGERI,KALIMANTAN TIMUR,12,411,BAHASA INDONESIA,64.98,2019
21,SMA/MA,BAHASA,NEGERI,SULAWESI UTARA,65,1151,BAHASA INDONESIA,50.99,2019
22,SMA/MA,BAHASA,NEGERI,SULAWESI TENGAH,8,171,BAHASA INDONESIA,55.51,2019
23,SMA/MA,BAHASA,NEGERI,SULAWESI SELATAN,39,1203,BAHASA INDONESIA,51.28,2019
24,SMA/MA,BAHASA,NEGERI,SULAWESI TENGGARA,14,302,BAHASA INDONESIA,52.92,2019
25,SMA/MA,BAHASA,NEGERI,MALUKU,7,203,BAHASA INDONESIA,47.46,2019
26,SMA/MA,BAHASA,NEGERI,BALI,52,2246,BAHASA INDONESIA,61.46,2019
27,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA BARAT,40,1056,BAHASA INDONESIA,54.32,2019
28,SMA/MA,BAHASA,NEGERI,NUSA TENGGARA TIMUR,143,4620,BAHASA INDONESIA,51.87,2019
29,SMA/MA,BAHASA,NEGERI,PAPUA,11,267,BAHASA INDONESIA,43.27,2019
30,SMA/MA,BAHASA,NEGERI,BENGKULU,10,304,BAHASA INDONESIA,62.37,2019
31,SMA/MA,BAHASA,NEGERI,MALUKU UTARA,5,118,BAHASA INDONESIA,48.24,2019
32,SMA/MA,BAHASA,NEGERI,BANGKA BELITUNG,6,156,BAHASA INDONESIA,61.05,2019
33,SMA/MA,BAHASA,NEGERI,GORONTALO,5,123,BAHASA INDONESIA,57.95,2019
34,SMA/MA,BAHASA,NEGERI,BANTEN,7,223,BAHASA INDONESIA,60.64,2019
35,SMA/MA,BAHASA,NEGERI,KEPULAUAN RIAU,4,103,BAHASA INDONESIA,64.74,2019
36,SMA/MA,BAHASA,NEGERI,SULAWESI BARAT,10,272,BAHASA INDONESIA,51.17,2019
37,SMA/MA,BAHASA,NEGERI,PAPUA BARAT,11,238,BAHASA INDONESIA,50.19,2019
38,SMA/MA,BAHASA,NEGERI,KALIMANTAN UTARA,2,67,BAHASA INDONESIA,61.52,2019
39,SMA/MA,BAHASA,NEGERI,DKI JAKARTA,18,621,BAHASA INGGRIS,70.12,2019
40,SMA/MA,BAHASA,NEGERI,JAWA BARAT,50,1634,BAHASA INGGRIS,53.56,2019
41,SMA/MA,BAHASA,NEGERI,JAWA TENGAH,75,2334,BAHASA INGGRIS,60.61,2019
42,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,45,BAHASA INGGRIS,76.49,2019
43,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,2,53,BAHASA INGGRIS,61.85,2019
44,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,BAHASA INGGRIS,-,2019
45,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,-,-,BAHASA INGGRIS,-,2019
46,SMA/MA,BAHASA,NEGERI,DI YOGYAKARTA,1,18,BAHASA INGGRIS,72,2019
47,SMA/MA,BAHASA,NEGERI,JAWA TIMUR,100,3114,BAHASA INGGRIS,60.56,2019
48,SMA/MA,BAHASA,NEGERI,ACEH,8,217,BAHASA INGGRIS,43.1,2019
49,SMA/MA,BAHASA,NEGERI,SUMATERA UTARA,14,496,BAHASA INGGRIS,45.2,2019
50,SMA/MA,BAHASA,NEGERI,SUMATERA BARAT,5,127,BAHASA INGGRIS,48.8,2019
51,SMA/MA,BAHASA,NEGERI,RIAU,7,188,BAHASA INGGRIS,49.88,2019
52,SMA/MA,BAHASA,NEGERI,JAMBI,5,130,BAHASA INGGRIS,39.86,2019
53,SMA/MA,BAHASA,NEGERI,SUMATERA SELATAN,1,29,BAHASA INGGRIS,38.62,2019
54,SMA/MA,BAHASA,NEGERI,LAMPUNG,3,101,BAHASA INGGRIS,50.24,2019
